,model,L,AIC,AICc,BIC,N,p
230,mtMAM+G8+FC+IO,-132.180404,332.360807,2712.360807,351.569086,34,0.0
231,mtMAM+G8+FO,-127.449318,320.898635,2564.898635,339.541964,33,0.0
232,mtMAM+G8+FO+IC,-128.096312,324.192623,2704.192623,343.400901,34,0.0
233,mtMAM+G8+FO+IO,-127.454652,322.909304,2702.909304,342.117583,34,0.0
237,mtREV+FC,-161.911354,387.822708,2499.822708,405.901088,32,0.0
238,mtREV+FC+IC,-135.232792,336.465585,2580.465585,355.108914,33,0.0
240,mtREV+FO,-131.340488,326.680976,2438.680976,344.759355,32,0.0
228,mtMAM+G8+FC,-132.178839,330.357678,2574.357678,349.001006,33,0.0
241,mtREV+FO+IC,-130.272383,326.544767,2570.544767,345.188095,33,0.0
242,mtREV+FO+IO,-130.228704,326.457407,2570.457407,345.100736,33,0.0
246,mtREV+G8+FC,-129.697317,325.394634,2569.394634,344.037963,33,0.0
247,mtREV+G8+FC+IC,-130.297673,328.595346,2708.595346,347.803624,34,0.0
248,mtREV+G8+FC+IO,-129.699153,327.398305,2707.398305,346.606584,34,0.0
249,mtREV+G8+FO,-125.168963,316.337926,2560.337926,334.981254,33,0.0
229,mtMAM+G8+FC+IC,-132.769072,333.538144,2713.538144,352.746423,34,0.0
224,mtMAM+FO+IO,-134.747796,335.495592,2579.495592,354.13892,33,0.0
202,mtART+FC+IC,-167.195596,400.391192,2644.391192,419.034521,33,0.0
212,mtART+G8+FC+IO,-126.451772,320.903544,2700.903544,340.111822,34,0.0
203,mtART+FC+IO,-133.024922,332.049845,2576.049845,350.693174,33,0.0
204,mtART+FO,-128.800095,321.600191,2433.600191,339.67857,32,0.0
205,mtART+FO+IC,-127.627518,321.255036,2565.255036,339.898364,33,0.0
206,mtART+FO+IO,-127.497587,320.995174,2564.995174,339.638503,33,0.0
210,mtART+G8+FC,-126.44754,318.89508,2562.89508,337.538409,33,0.0
211,mtART+G8+FC+IC,-127.037436,322.074872,2702.074872,341.28315,34,0.0
213,mtART+G8+FO,-121.851239,309.702478,2553.702478,328.345807,33,0.0
223,mtMAM+FO+IC,-134.773735,335.547469,2579.547469,354.190798,33,0.0
214,mtART+G8+FO+IC,-122.403607,312.807215,2692.807215,332.015493,34,0.0
215,mtART+G8+FO+IO,-121.875442,311.750883,2691.750883,330.959162,34,0.0
219,mtMAM+FC,-178.159011,420.318021,2532.318021,438.396401,32,0.0
220,mtMAM+FC+IC,-179.67957,425.359141,2669.359141,444.00247,33,0.0
221,mtMAM+FC+IO,-140.212193,346.424385,2590.424385,365.067714,33,0.0
222,mtMAM+FO,-136.930285,337.860571,2449.860571,355.93895,32,0.0
179,JTT-DCMut+G8+FO+IO,-120.732066,309.464132,2689.464132,328.67241,34,0.0
