,model,L,AIC,AICc,BIC,N,p
230,mtMAM+G8+FC+IO,-132.10939,332.21878,2712.21878,351.427058,34,0.0
231,mtMAM+G8+FO,-127.396031,320.792063,2564.792063,339.435392,33,0.0
232,mtMAM+G8+FO+IC,-128.06509,324.130181,2704.130181,343.338459,34,0.0
233,mtMAM+G8+FO+IO,-127.396843,322.793686,2702.793686,342.001964,34,0.0
237,mtREV+FC,-136.774118,337.548236,2449.548236,355.626615,32,0.0
238,mtREV+FC+IC,-135.232799,336.465597,2580.465597,355.108926,33,0.0
240,mtREV+FO,-130.94944,325.89888,2437.89888,343.97726,32,0.0
228,mtMAM+G8+FC,-132.109451,330.218901,2574.218901,348.86223,33,0.0
241,mtREV+FO+IC,-130.272248,326.544497,2570.544497,345.187826,33,0.0
242,mtREV+FO+IO,-130.228595,326.457189,2570.457189,345.100518,33,0.0
246,mtREV+G8+FC,-129.569339,325.138678,2569.138678,343.782007,33,0.0
247,mtREV+G8+FC+IC,-130.222857,328.445714,2708.445714,347.653992,34,0.0
248,mtREV+G8+FC+IO,-129.571398,327.142797,2707.142797,346.351075,34,0.0
249,mtREV+G8+FO,-125.042834,316.085668,2560.085668,334.728997,33,0.0
229,mtMAM+G8+FC+IC,-132.725515,333.451029,2713.451029,352.659308,34,0.0
224,mtMAM+FO+IO,-134.741886,335.483772,2579.483772,354.1271,33,0.0
202,mtART+FC+IC,-132.672523,331.345046,2575.345046,349.988375,33,0.0
212,mtART+G8+FC+IO,-126.378162,320.756324,2700.756324,339.964602,34,0.0
203,mtART+FC+IO,-132.500662,331.001324,2575.001324,349.644652,33,0.0
204,mtART+FO,-128.100701,320.201401,2432.201401,338.279781,32,0.0
205,mtART+FO+IC,-127.113167,320.226335,2564.226335,338.869664,33,0.0
206,mtART+FO+IO,-126.955868,319.911736,2563.911736,338.555065,33,0.0
210,mtART+G8+FC,-126.374931,318.749861,2562.749861,337.39319,33,0.0
211,mtART+G8+FC+IC,-126.962014,321.924027,2701.924027,341.132305,34,0.0
213,mtART+G8+FO,-121.79262,309.585241,2553.585241,328.22857,33,0.0
223,mtMAM+FO+IC,-134.770645,335.54129,2579.54129,354.184618,33,0.0
214,mtART+G8+FO+IC,-122.328079,312.656159,2692.656159,331.864437,34,0.0
215,mtART+G8+FO+IO,-121.795534,311.591068,2691.591068,330.799346,34,0.0
219,mtMAM+FC,-182.223234,428.446467,2540.446467,446.524846,32,0.0
220,mtMAM+FC+IC,-180.740171,427.480341,2671.480341,446.12367,33,0.0
221,mtMAM+FC+IO,-140.212203,346.424406,2590.424406,365.067734,33,0.0
222,mtMAM+FO,-136.328442,336.656884,2448.656884,354.735264,32,0.0
179,JTT-DCMut+G8+FO+IO,-120.610039,309.220077,2689.220077,328.428355,34,0.0
